participant_id,practice_dtd,dtd_15_85,dtd_60_40,decision_confidence_practice,decision_confidence_15_85,decision_confidence_60_40,first_conf_85_15,last_conf_85_15,first_conf_60_40,last_conf_60_40
PG11,9.5,7.1,9.0,89.75308736,93.898148713,72.712964659,82.36111464323821,94.2407438490126,60.20370554040979,72.95370596426504
PG12,6.0,4.1,5.3,70.95679295,87.175928752,56.814816792,42.986113230387375,94.06481848822699,30.314816015738028,69.30555696840639
PG13,10.0,5.8,7.0,98.81689632,97.077362426,95.28025925444445,45.215768410548954,92.01247989446281,30.52257242377684,73.01420754183523
PG14,1.5,3.3,6.1,80.555555555,96.88888903,93.88888941875,45.13636373348273,92.77324912762745,36.049337290380365,71.65417424553748
PG16,9.0,5.3,6.5,86.0416694925,87.20370398700001,83.620371643,46.322054373604395,90.79637772979113,38.895025670430016,72.2863027832482
PG17,4.5,3.3,5.1,98.865745685,98.675931296,95.212964657,43.44739134356205,91.61272265318362,35.338447471009786,74.73549949197641
PG18,4.5,3.7,4.7,83.37963069,92.546299122,73.731483884,41.82792308204713,90.87307474622332,34.26893400287413,75.38704231644878
PG19,9.0,9.4,10.1,84.6990761925,85.00000204222222,55.45267568111111,37.72443270562156,89.79750557097293,31.327909889259036,71.90579176248613
PG20,5.5,4.4,5.2,93.1018546775,91.870370087,85.537040145,34.10073035332653,89.22329768248788,28.473574277495445,72.93477808272742
PG21,11.0,9.2,8.9,,98.58557477125,58.75211231511111,36.5640179655363,90.09012957415135,30.92241369878396,72.75858912737415
PG22,3.0,2.9,3.7,58.0787058225,64.111112664,58.666668645,37.91762586266795,88.21156582448053,32.86208368148596,71.67472274639718
PG23,6.75,6.5,6.6,83.51851746,88.17592691600001,75.15432412666667,39.04871887513782,88.10905904314616,34.40806492932958,71.94015218373886
PG24,5.0,4.7,6.0,79.884264205,84.953708651,91.083337289,37.683860174549004,87.63200906947327,33.043529346340335,73.14275340532936
PG25,8.75,7.7,10.1,91.226853265,91.009260106,51.58436269,35.88567441002315,87.21252709154915,30.992702612320343,71.42718103783945
PG26,8.75,5.0,8.9,84.00463175,78.15740938500001,65.6995898911111,33.86737027486672,86.15206245434898,29.006490941244383,71.0703980109249
PG27,5.5,4.6,6.0,83.78103459249999,92.876575556,80.005881444,33.07071106557204,86.18950872205723,30.77835502177521,72.2509794939792
PG28,6.0,4.3,4.7,74.8379654375,88.231485154,86.259261943,31.287139851353405,83.87934156726102,29.174661038415376,70.79409491588147
PG32,5.75,3.5,7.8,72.63889401075,99.500004803,85.58642383444445,32.38281319888765,84.66536602095542,30.34739891719178,71.88308628526681
PG33,7.0,6.2,8.2,83.7268546775,86.592597256,82.435184761,33.359741293029145,84.43785180101827,31.44796774179984,72.11903911207114
PG34,5.75,5.5,6.9,86.3425925925,82.444446704,78.62140121666667,31.699161646381473,84.25068160979593,29.883953020126455,72.43085013427418
PG35,9.5,7.4,8.4,82.77777918999999,77.50000106,62.574075768,30.667631926626868,83.37013775898436,28.82624131984305,71.51975157093354
PG36,1.25,4.0,5.8,71.2268529125,87.648152952,71.88271730444444,32.80479348654489,83.5351316352864,30.117054045395356,71.38522910231866
PG37,9.5,6.9,4.5,60.74074168333333,70.27777919100001,54.351853971,31.3921857397087,81.38062516828839,29.10314820648999,68.7907665431401
PG38,8.75,7.2,7.8,88.83597883499999,88.126984127,83.121693122,31.724389640765814,81.83191746176138,30.15012366088806,69.63789319899055
PG39,6.25,7.0,9.5,74.065558745,88.75906625799999,64.29353503777777,30.88683019327476,81.30067529483942,29.35548349830286,69.21723231224284
PG40,5.0,4.6,6.1,87.87542015,87.398895951,63.67462293999999,31.51585921540388,81.18325861307059,30.149520060006843,68.77430928416516
PG41,7.5,10.2,10.1,36.85185232,28.54166825625,39.47531068111111,30.367123681058263,78.61268525141686,29.06737936183761,66.47448019920533
PG42,6.0,3.9,8.5,68.5416680775,60.490741729,44.88683355111111,30.358931626190166,78.0670350997657,28.022789374258384,65.37294688418969
PG43,3.0,2.0,4.7,97.430555555,99.111111112,93.56995884666668,31.850740989374664,78.73785408260093,29.08524416610962,66.41977536620568
PG44,6.25,6.2,9.2,70.115741095,72.425927762,58.84773898,31.23576518762631,78.77944698164612,28.493460172026115,66.23261503444648
